pidOut,sonarReadingGoalIs125
1.265625,55
1.378125,51
1.265625,55
1.265625,55
1.265625,55
1.265625,55
1.265625,55
1.265625,55
1.265625,55
1.209375,57
1.209375,57
1.209375,57
1.181250,58
0.984375,65
0.450000,84
0.253125,91
0.253125,91
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-0.393750,114
-0.253125,109
-0.253125,109
-0.393750,114
-0.506250,118
-0.506250,118
-0.562500,120
-0.506250,118
-0.590625,121
-0.731250,126
-0.618750,122
-0.787500,128
-0.787500,128
-0.843750,130
-0.843750,130
-0.984375,135
-0.843750,130
-0.984375,135
-1.040625,137
-1.040625,137
-1.096875,139
-1.096875,139
-0.984375,135
-0.984375,135
-0.984375,135
-0.984375,135
-0.984375,135
-0.984375,135
-0.984375,135
-0.984375,135
-1.068750,138
-1.378125,149
-2.053125,173
-2.053125,173
-2.053125,173
-2.053125,173
-2.053125,173
-2.053125,173
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-6.300000,324
-6.356250,326
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-11.250000,500
-0.843750,130
-0.843750,130
-0.787500,128
-0.787500,128
-0.787500,128
-0.787500,128
-0.731250,126
-0.731250,126
-0.731250,126
-0.731250,126
-0.590625,121
-0.590625,121
